split,stem,class_id,class_name,area_pixels,area_ratio,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,bbox_area_ratio
train,00000000,21,chicken duck,47014,0.23912556966145834,0,125,262,259,67858,0.3451436360677083
train,00000000,80,rice,73227,0.3724517822265625,154,40,358,305,109190,0.5553690592447916
train,00000000,88,snow peas,29097,0.1479949951171875,0,0,205,235,48175,0.24503072102864584
train,00000001,27,cucumber,13762,0.06999715169270833,258,65,161,129,20769,0.1056365966796875
train,00000001,60,onion,2361,0.0120086669921875,352,248,150,55,8250,0.041961669921875
train,00000001,60,onion,4186,0.021291097005208332,167,295,115,68,7820,0.039774576822916664
train,00000001,74,potato,24012,0.12213134765625,65,30,219,169,37011,0.1882476806640625
train,00000001,82,sauce,46451,0.23626200358072916,87,160,358,206,73748,0.3751017252604167
train,00000002,10,bread,54016,0.2747395833333333,151,143,356,241,85796,0.4363810221354167
train,00000002,69,pie,11770,0.059865315755208336,225,39,130,114,14820,0.07537841796875
train,00000003,3,asparagus,2725,0.013860066731770834,480,0,32,233,7456,0.037923177083333336
train,00000003,3,asparagus,4777,0.024297078450520832,428,70,61,168,10248,0.0521240234375
train,00000003,11,broccoli,14709,0.0748138427734375,290,0,203,105,21315,0.1084136962890625
train,00000003,15,carrot,16914,0.086029052734375,32,0,271,101,27371,0.13921610514322916
train,00000003,21,chicken duck,103790,0.5279032389322916,39,14,412,370,152440,0.7753499348958334
train,00000004,11,broccoli,12411,0.0631256103515625,131,20,207,111,22977,0.1168670654296875
train,00000004,15,carrot,10609,0.053960164388020836,63,107,153,122,18666,0.094940185546875
train,00000004,36,french beans,12032,0.061197916666666664,74,185,170,130,22100,0.11240641276041667
train,00000004,92,steak,9887,0.050287882486979164,210,64,131,133,17423,0.08861796061197917
train,00000004,92,steak,5736,0.0291748046875,351,72,87,128,11136,0.056640625
train,00000004,99,white button mushroom,28364,0.14426676432291666,193,59,258,235,60630,0.308380126953125
train,00000005,21,chicken duck,74449,0.3786671956380208,0,0,469,291,136479,0.6941680908203125
