split,stem,image_path,mask_path,height,width,total_pixels,fg_pixels,bg_pixels,fg_ratio,bg_ratio,num_present_classes,present_classes,num_connected_components,largest_component_area,median_component_area,class_0_pixels,class_1_pixels,class_2_pixels,class_3_pixels,class_4_pixels,class_5_pixels,class_6_pixels,class_7_pixels,class_8_pixels,class_9_pixels,class_10_pixels,class_11_pixels,class_12_pixels,class_13_pixels,class_14_pixels,class_15_pixels,class_16_pixels,class_17_pixels,class_18_pixels,class_19_pixels,class_20_pixels,class_21_pixels,class_22_pixels,class_23_pixels,class_24_pixels,class_25_pixels,class_26_pixels,class_27_pixels,class_28_pixels,class_29_pixels,class_30_pixels,class_31_pixels,class_32_pixels,class_33_pixels,class_34_pixels,class_35_pixels,class_36_pixels,class_37_pixels,class_38_pixels,class_39_pixels,class_40_pixels,class_41_pixels,class_42_pixels,class_43_pixels,class_44_pixels,class_45_pixels,class_46_pixels,class_47_pixels,class_48_pixels,class_49_pixels,class_50_pixels,class_51_pixels,class_52_pixels,class_53_pixels,class_54_pixels,class_55_pixels,class_56_pixels,class_57_pixels,class_58_pixels,class_59_pixels,class_60_pixels,class_61_pixels,class_62_pixels,class_63_pixels,class_64_pixels,class_65_pixels,class_66_pixels,class_67_pixels,class_68_pixels,class_69_pixels,class_70_pixels,class_71_pixels,class_72_pixels,class_73_pixels,class_74_pixels,class_75_pixels,class_76_pixels,class_77_pixels,class_78_pixels,class_79_pixels,class_80_pixels,class_81_pixels,class_82_pixels,class_83_pixels,class_84_pixels,class_85_pixels,class_86_pixels,class_87_pixels,class_88_pixels,class_89_pixels,class_90_pixels,class_91_pixels,class_92_pixels,class_93_pixels,class_94_pixels,class_95_pixels,class_96_pixels,class_97_pixels,class_98_pixels,class_99_pixels,class_100_pixels,class_101_pixels,class_102_pixels,class_103_pixels
train,00000000,..\dataset\foodseg103-full\train\img\00000000.jpg,..\dataset\foodseg103-full\train\mask\00000000.png,384,512,196608,149338,47270,0.7595723470052084,0.24042765299479166,3,"[21, 80, 88]",1,149338,149338.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73227,0,0,0,0,0,0,0,29097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47270
train,00000001,..\dataset\foodseg103-full\train\img\00000001.jpg,..\dataset\foodseg103-full\train\mask\00000001.png,384,512,196608,90772,105836,0.4616902669270833,0.5383097330729166,4,"[27, 60, 74, 82]",1,90772,90772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6547,0,0,0,0,0,0,0,0,0,0,0,0,0,24012,0,0,0,0,0,0,0,46451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105836
train,00000002,..\dataset\foodseg103-full\train\img\00000002.jpg,..\dataset\foodseg103-full\train\mask\00000002.png,384,512,196608,65786,130822,0.3346048990885417,0.6653951009114584,2,"[10, 69]",1,65786,65786.0,0,0,0,0,0,0,0,0,0,0,54016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130822
train,00000003,..\dataset\foodseg103-full\train\img\00000003.jpg,..\dataset\foodseg103-full\train\mask\00000003.png,384,512,196608,142915,53693,0.7269032796223959,0.2730967203776042,4,"[3, 11, 15, 21]",1,142915,142915.0,0,0,0,7502,0,0,0,0,0,0,0,14709,0,0,0,16914,0,0,0,0,0,103790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53693
train,00000004,..\dataset\foodseg103-full\train\img\00000004.jpg,..\dataset\foodseg103-full\train\mask\00000004.png,384,512,196608,79039,117569,0.4020131429036458,0.5979868570963541,5,"[11, 15, 36, 92, 99]",1,79039,79039.0,0,0,0,0,0,0,0,0,0,0,0,12411,0,0,0,10609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15623,0,0,0,0,0,0,28364,0,0,0,117569
train,00000005,..\dataset\foodseg103-full\train\img\00000005.jpg,..\dataset\foodseg103-full\train\mask\00000005.png,384,512,196608,131119,65489,0.6669057210286459,0.3330942789713542,3,"[21, 23, 96]",1,131119,131119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74449,0,17991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38679,0,0,0,0,0,0,65489
train,00000006,..\dataset\foodseg103-full\train\img\00000006.jpg,..\dataset\foodseg103-full\train\mask\00000006.png,384,512,196608,151243,45365,0.7692616780598959,0.23073832194010416,5,"[15, 25, 74, 82, 83]",1,151243,151243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36535,0,0,0,0,0,0,0,0,0,12183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34638,0,0,0,0,0,0,0,34343,33544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45365
train,00000007,..\dataset\foodseg103-full\train\img\00000007.jpg,..\dataset\foodseg103-full\train\mask\00000007.png,2048,1536,3145728,1572061,1573667,0.4997447331746419,0.500255266825358,3,"[74, 80, 83]",1,1572061,1572061.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451154,0,0,0,0,0,489884,0,0,631023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573667
train,00000008,..\dataset\foodseg103-full\train\img\00000008.jpg,..\dataset\foodseg103-full\train\mask\00000008.png,392,512,200704,101285,99419,0.5046486367984694,0.4953513632015306,4,"[10, 19, 30, 93]",1,101285,101285.0,0,0,0,0,0,0,0,0,0,0,41627,0,0,0,0,0,0,0,0,12157,0,0,0,0,0,0,0,0,0,0,25856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21645,0,0,0,0,0,0,0,0,0,99419
train,00000009,..\dataset\foodseg103-full\train\img\00000009.jpg,..\dataset\foodseg103-full\train\mask\00000009.png,384,512,196608,76091,120517,0.3870188395182292,0.6129811604817709,3,"[15, 42, 73]",1,76091,76091.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120517
