split,stem,class_id,class_name,image_path,mask_path,patch_id,center_x,center_y,patch_size,patch_fg_ratio,patch_area_pixels,patch_bbox_area_ratio,image_h,image_w
train,00000000,21,chicken duck,..\dataset\foodseg103-full\train\img\00000000.jpg,..\dataset\foodseg103-full\train\mask\00000000.png,train_00000000_c21_00,117,282,96,1.0,47014,0.3451436360677083,384,512
train,00000000,80,rice,..\dataset\foodseg103-full\train\img\00000000.jpg,..\dataset\foodseg103-full\train\mask\00000000.png,train_00000000_c80_00,332,183,96,1.0,73227,0.5553690592447916,384,512
train,00000000,88,snow peas,..\dataset\foodseg103-full\train\img\00000000.jpg,..\dataset\foodseg103-full\train\mask\00000000.png,train_00000000_c88_00,77,90,96,0.9684244791666666,29097,0.24503072102864584,384,512
train,00000001,27,cucumber,..\dataset\foodseg103-full\train\img\00000001.jpg,..\dataset\foodseg103-full\train\mask\00000001.png,train_00000001_c27_00,337,129,96,0.9310980902777778,13762,0.1056365966796875,384,512
train,00000001,60,onion,..\dataset\foodseg103-full\train\img\00000001.jpg,..\dataset\foodseg103-full\train\mask\00000001.png,train_00000001_c60_00,224,329,96,0.4154730902777778,4186,0.039774576822916664,384,512
train,00000001,60,onion,..\dataset\foodseg103-full\train\img\00000001.jpg,..\dataset\foodseg103-full\train\mask\00000001.png,train_00000001_c60_01,433,270,96,0.17513020833333334,2361,0.041961669921875,384,512
train,00000001,74,potato,..\dataset\foodseg103-full\train\img\00000001.jpg,..\dataset\foodseg103-full\train\mask\00000001.png,train_00000001_c74_00,169,118,96,1.0,24012,0.1882476806640625,384,512
train,00000001,82,sauce,..\dataset\foodseg103-full\train\img\00000001.jpg,..\dataset\foodseg103-full\train\mask\00000001.png,train_00000001_c82_00,271,252,96,1.0,46451,0.3751017252604167,384,512
train,00000002,10,bread,..\dataset\foodseg103-full\train\img\00000002.jpg,..\dataset\foodseg103-full\train\mask\00000002.png,train_00000002_c10_00,317,261,96,0.9441189236111112,54016,0.4363810221354167,384,512
train,00000002,69,pie,..\dataset\foodseg103-full\train\img\00000002.jpg,..\dataset\foodseg103-full\train\mask\00000002.png,train_00000002_c69_00,286,95,96,0.9787326388888888,11770,0.07537841796875,384,512
train,00000003,3,asparagus,..\dataset\foodseg103-full\train\img\00000003.jpg,..\dataset\foodseg103-full\train\mask\00000003.png,train_00000003_c3_00,460,143,96,0.3729383680555556,4777,0.0521240234375,384,512
train,00000003,3,asparagus,..\dataset\foodseg103-full\train\img\00000003.jpg,..\dataset\foodseg103-full\train\mask\00000003.png,train_00000003_c3_01,503,87,96,0.3054470486111111,2725,0.037923177083333336,384,512
train,00000003,11,broccoli,..\dataset\foodseg103-full\train\img\00000003.jpg,..\dataset\foodseg103-full\train\mask\00000003.png,train_00000003_c11_00,401,42,96,0.9252387152777778,14709,0.1084136962890625,384,512
train,00000003,15,carrot,..\dataset\foodseg103-full\train\img\00000003.jpg,..\dataset\foodseg103-full\train\mask\00000003.png,train_00000003_c15_00,145,37,96,0.8432074652777778,16914,0.13921610514322916,384,512
train,00000003,21,chicken duck,..\dataset\foodseg103-full\train\img\00000003.jpg,..\dataset\foodseg103-full\train\mask\00000003.png,train_00000003_c21_00,240,212,96,1.0,103790,0.7753499348958334,384,512
train,00000004,11,broccoli,..\dataset\foodseg103-full\train\img\00000004.jpg,..\dataset\foodseg103-full\train\mask\00000004.png,train_00000004_c11_00,223,70,96,0.7354600694444444,12411,0.1168670654296875,384,512
train,00000004,15,carrot,..\dataset\foodseg103-full\train\img\00000004.jpg,..\dataset\foodseg103-full\train\mask\00000004.png,train_00000004_c15_00,128,157,96,0.8687065972222222,10609,0.094940185546875,384,512
train,00000004,36,french beans,..\dataset\foodseg103-full\train\img\00000004.jpg,..\dataset\foodseg103-full\train\mask\00000004.png,train_00000004_c36_00,153,250,96,0.9166666666666666,12032,0.11240641276041667,384,512
train,00000004,92,steak,..\dataset\foodseg103-full\train\img\00000004.jpg,..\dataset\foodseg103-full\train\mask\00000004.png,train_00000004_c92_00,274,138,96,0.8586154513888888,9887,0.08861796061197917,384,512
train,00000004,92,steak,..\dataset\foodseg103-full\train\img\00000004.jpg,..\dataset\foodseg103-full\train\mask\00000004.png,train_00000004_c92_01,400,145,96,0.5564236111111112,5736,0.056640625,384,512
train,00000004,99,white button mushroom,..\dataset\foodseg103-full\train\img\00000004.jpg,..\dataset\foodseg103-full\train\mask\00000004.png,train_00000004_c99_00,331,200,96,0.7736545138888888,28364,0.308380126953125,384,512
train,00000005,21,chicken duck,..\dataset\foodseg103-full\train\img\00000005.jpg,..\dataset\foodseg103-full\train\mask\00000005.png,train_00000005_c21_00,262,143,96,1.0,74449,0.6941680908203125,384,512
train,00000005,23,cilantro mint,..\dataset\foodseg103-full\train\img\00000005.jpg,..\dataset\foodseg103-full\train\mask\00000005.png,train_00000005_c23_00,102,224,96,0.9490017361111112,17991,0.18250528971354166,384,512
train,00000005,96,tomato,..\dataset\foodseg103-full\train\img\00000005.jpg,..\dataset\foodseg103-full\train\mask\00000005.png,train_00000005_c96_00,208,320,96,0.9471571180555556,24017,0.16351318359375,384,512
train,00000005,96,tomato,..\dataset\foodseg103-full\train\img\00000005.jpg,..\dataset\foodseg103-full\train\mask\00000005.png,train_00000005_c96_01,467,293,96,0.9231770833333334,10361,0.06847127278645833,384,512
train,00000005,96,tomato,..\dataset\foodseg103-full\train\img\00000005.jpg,..\dataset\foodseg103-full\train\mask\00000005.png,train_00000005_c96_02,356,45,96,0.4659288194444444,4301,0.04119873046875,384,512
train,00000006,15,carrot,..\dataset\foodseg103-full\train\img\00000006.jpg,..\dataset\foodseg103-full\train\mask\00000006.png,train_00000006_c15_00,314,74,96,0.8679470486111112,36535,0.4274749755859375,384,512
train,00000006,25,corn,..\dataset\foodseg103-full\train\img\00000006.jpg,..\dataset\foodseg103-full\train\mask\00000006.png,train_00000006_c25_00,52,124,96,0.9100477430555556,12183,0.1219482421875,384,512
train,00000006,74,potato,..\dataset\foodseg103-full\train\img\00000006.jpg,..\dataset\foodseg103-full\train\mask\00000006.png,train_00000006_c74_00,361,226,96,0.9560546875,26245,0.2564290364583333,384,512
train,00000006,74,potato,..\dataset\foodseg103-full\train\img\00000006.jpg,..\dataset\foodseg103-full\train\mask\00000006.png,train_00000006_c74_01,55,237,96,0.7698567708333334,8393,0.06453450520833333,384,512
