class_id_a,class_a,class_id_b,class_b,color_similarity,color_distance
17,cauliflower,80,rice,0.9963132691610792,0.003686730838920793
35,fish,69,pie,0.9797837657438501,0.020216234256149934
55,milk,56,milkshake,0.9791471390057009,0.02085286099429906
23,cilantro mint,36,french beans,0.9771494627325107,0.022850537267489313
10,bread,69,pie,0.9765269694878276,0.02347303051217242
25,corn,53,mango,0.9753838968529112,0.02461610314708884
45,ice cream,55,milk,0.9732467238397697,0.026753276160230266
3,asparagus,36,french beans,0.9712333290111004,0.028766670988899623
51,lemon,70,pineapple,0.9685738620929136,0.03142613790708637
74,potato,80,rice,0.9676167535300669,0.03238324646993307
3,asparagus,23,cilantro mint,0.9674756029004316,0.03252439709956845
57,noodles,102,wonton dumplings,0.9666022402238251,0.03339775977617487
64,pasta,102,wonton dumplings,0.9651935286511609,0.034806471348839074
19,cheese butter,57,noodles,0.9628645028478752,0.03713549715212483
19,cheese butter,74,potato,0.9623130392764078,0.03768696072359223
30,egg,51,lemon,0.9619429530580956,0.03805704694190437
19,cheese butter,80,rice,0.9605360271103225,0.03946397288967751
16,cashew,62,other ingredients,0.9601881223738139,0.0398118776261861
23,cilantro mint,77,rape,0.9585175196266652,0.041482480373334796
17,cauliflower,74,potato,0.9574495653519851,0.04255043464801489
17,cauliflower,45,ice cream,0.9570562820441844,0.04294371795581564
16,cashew,71,pizza,0.9523305082090553,0.04766949179094471
45,ice cream,80,rice,0.9510157258638288,0.048984274136171235
57,noodles,74,potato,0.9504623037113337,0.04953769628866633
54,melon,64,pasta,0.9502576102537355,0.04974238974626455
17,cauliflower,19,cheese butter,0.9482093969053201,0.051790603094679866
24,coffee,43,hamburg,0.9434316366013276,0.05656836339867244
19,cheese butter,102,wonton dumplings,0.9430104320418659,0.056989567958134146
17,cauliflower,55,milk,0.94239629990543,0.057603700094570054
28,date,79,red beans,0.9403116285259282,0.0596883714740718
73,pork,92,steak,0.9402600917042336,0.059739908295766364
53,mango,61,orange,0.9389105512297894,0.06108944877021061
27,cucumber,49,kiwi,0.9370089646845535,0.06299103531544648
3,asparagus,77,rape,0.9368253197973371,0.06317468020266293
36,french beans,42,green beans,0.9359090507937529,0.06409094920624714
78,raspberry,101,wine,0.9353339926870228,0.06466600731297723
25,corn,61,orange,0.9346960617583474,0.06530393824165259
57,noodles,64,pasta,0.933023893290024,0.066976106709976
10,bread,57,noodles,0.9305784026895167,0.06942159731048325
13,cake,81,salad,0.9300073948979581,0.06999260510204186
10,bread,35,fish,0.929928819310771,0.07007118068922902
23,cilantro mint,42,green beans,0.9292695681283019,0.07073043187169814
55,milk,80,rice,0.9288997550767882,0.07110024492321176
45,ice cream,56,milkshake,0.923067327156679,0.07693267284332095
19,cheese butter,64,pasta,0.9225536360498874,0.07744636395011262
34,fig,85,shellfish,0.9225279316621177,0.07747206833788234
22,chocolate,86,shiitake,0.9218474624410561,0.07815253755894391
36,french beans,77,rape,0.9205553227282459,0.07944467727175408
74,potato,75,pudding,0.9197457567801778,0.08025424321982222
57,noodles,69,pie,0.9188581813142435,0.08114181868575654
74,potato,102,wonton dumplings,0.9187174132080074,0.08128258679199263
54,melon,102,wonton dumplings,0.9184396162050685,0.08156038379493147
9,blueberry,101,wine,0.9173522253681906,0.08264777463180939
2,apricot,15,carrot,0.9163902146106208,0.08360978538937924
50,lamb,86,shiitake,0.9160356108172333,0.08396438918276672
13,cake,66,peanut,0.9142746644744366,0.08572533552556338
41,grape,78,raspberry,0.9134950350617188,0.08650496493828119
81,salad,85,shellfish,0.9134342391677674,0.08656576083223255
75,pudding,89,soup,0.9120339843526059,0.08796601564739415
