patch_id,class_id,class_name,stem,pca_1,pca_2,umap_1,umap_2
train_00000000_c21_00,21,chicken duck,0,-0.3109448366845833,-5.2127896638202404,,
train_00000000_c80_00,80,rice,0,-0.019635517129534142,-4.208306790583311,,
train_00000000_c88_00,88,snow peas,0,-1.5029407443209606,-2.3671313782449346,,
train_00000001_c27_00,27,cucumber,1,-4.6934414212538815,-0.28425635734983995,,
train_00000001_c60_00,60,onion,1,2.425191931267914,1.0134321380196893,,
train_00000001_c60_01,60,onion,1,6.387342959909258,3.4403699378805044,,
train_00000001_c74_00,74,potato,1,-1.2236645541394902,-4.0851767512256965,,
train_00000001_c82_00,82,sauce,1,-3.5131569458360006,-0.554624220374586,,
train_00000002_c10_00,10,bread,2,-3.7378824228879393,-1.370556111328585,,
train_00000002_c69_00,69,pie,2,-0.9654769303767431,-3.64996411798123,,
train_00000003_c3_00,3,asparagus,3,3.4958357626654086,1.6099000119440137,,
train_00000003_c3_01,3,asparagus,3,5.296401398287259,2.164856842170598,,
train_00000003_c11_00,11,broccoli,3,-6.231112033848204,1.6415669099473464,,
train_00000003_c15_00,15,carrot,3,-0.9524074210438979,-2.8763882275070727,,
train_00000003_c21_00,21,chicken duck,3,-5.219243427098015,0.028813560115993148,,
train_00000004_c11_00,11,broccoli,4,-2.769942839173178,1.263429699178934,,
train_00000004_c15_00,15,carrot,4,-1.0768814758914527,-2.132849524668627,,
train_00000004_c36_00,36,french beans,4,-4.146804552370538,0.8128634710467908,,
train_00000004_c92_00,92,steak,4,-3.4262131881824947,-0.548727991306519,,
train_00000004_c92_01,92,steak,4,-0.924210122911976,1.7232725194597331,,
train_00000004_c99_00,99,white button mushroom,4,-4.475161408050344,2.9919246305901126,,
train_00000005_c21_00,21,chicken duck,5,-8.531765250357335,3.3148759107680026,,
train_00000005_c23_00,23,cilantro mint,5,-6.865183196385725,2.217758695777093,,
train_00000005_c96_00,96,tomato,5,-1.7837245386682479,-2.5156088669464407,,
train_00000005_c96_01,96,tomato,5,-2.052328308679797,-3.0839575519983966,,
train_00000005_c96_02,96,tomato,5,2.148795981813737,-0.4877663808228137,,
train_00000006_c15_00,15,carrot,6,2.4271377593188412,-5.6284860768009155,,
train_00000006_c25_00,25,corn,6,1.2199724321374443,-4.66079069630713,,
train_00000006_c74_00,74,potato,6,-1.8420006444807184,-3.2256082178383383,,
train_00000006_c74_01,74,potato,6,0.2965532556222607,-3.1761986487198848,,
train_00000006_c82_00,82,sauce,6,0.3625943542543794,-4.421817734554617,,
train_00000006_c83_00,83,sausage,6,1.3462367042260055,-4.514555707056011,,
train_00000006_c83_01,83,sausage,6,6.675656251648156,-1.8033216504132523,,
train_00000007_c74_00,74,potato,7,1.88291314167857,-6.9936447182468875,,
train_00000007_c80_00,80,rice,7,-1.4224812825154431,-3.19281489397801,,
train_00000007_c83_00,83,sausage,7,0.10566569150047149,-2.7233055278151643,,
train_00000008_c10_00,10,bread,8,-4.0172444865833405,-1.4918124596377456,,
train_00000008_c19_00,19,cheese butter,8,-0.07429821951995956,-1.4708342497950622,,
train_00000008_c30_00,30,egg,8,7.536834580182143,1.6455615359298588,,
train_00000008_c30_01,30,egg,8,4.138834432381614,0.4894756195447418,,
train_00000008_c30_02,30,egg,8,3.9436119638520037,0.43136048534093774,,
train_00000008_c93_00,93,strawberry,8,-4.076954175730967,-0.08625361780956492,,
train_00000009_c15_00,15,carrot,9,-2.544034351296544,-2.6187658095419484,,
train_00000009_c42_00,42,green beans,9,-7.494493577623024,2.1845491340714,,
train_00000009_c73_00,73,pork,9,-5.305005697242424,0.18783508147512637,,
train_00000010_c19_00,19,cheese butter,10,0.043746982735281666,-6.4054096409113255,,
train_00000011_c37_00,37,french fries,11,1.609826899069139,-6.388842363220909,,
train_00000011_c45_00,45,ice cream,11,-0.8034771876178849,-5.0976107085311835,,
train_00000012_c45_00,45,ice cream,12,-0.9565705490094435,-3.582763649990828,,
train_00000012_c45_01,45,ice cream,12,1.8415230936416034,-6.853977259631858,,
train_00000012_c45_02,45,ice cream,12,10.321321026075704,-7.509044654112923,,
train_00000012_c96_00,96,tomato,12,2.531471620005306,-5.847575404016599,,
train_00000012_c96_01,96,tomato,12,0.9203605116742954,-6.394482813494494,,
train_00000013_c10_00,10,bread,13,7.241158376182723,2.112630093600859,,
train_00000013_c52_00,52,lettuce,13,4.721335340303403,1.7404321213107268,,
train_00000013_c52_02,52,lettuce,13,7.987353582438953,3.0942328080603385,,
train_00000013_c82_00,82,sauce,13,1.8518497649532681,-1.2177397988745624,,
train_00000013_c92_00,92,steak,13,1.4224506425010561,-1.5708576768605218,,
train_00000013_c96_00,96,tomato,13,3.0910787927904533,0.22763547516999427,,
train_00000013_c96_01,96,tomato,13,4.442804970843529,0.8572037034402916,,
train_00000014_c15_01,15,carrot,14,3.5157056334090413,-0.025836212776622326,,
train_00000014_c39_00,39,garlic,14,-5.384773845906693,0.9215691835202389,,
train_00000014_c39_01,39,garlic,14,-2.120422966720727,-1.1742443978304284,,
train_00000014_c92_00,92,steak,14,-2.9395323674346034,-2.181731381349146,,
train_00000015_c11_00,11,broccoli,15,1.317277467338258,1.2051785220287914,,
train_00000015_c11_01,11,broccoli,15,6.087581955514942,3.2840561913669344,,
train_00000015_c15_00,15,carrot,15,4.383023264807416,0.4933669037581783,,
train_00000015_c15_01,15,carrot,15,2.6717015821302725,1.755342354158571,,
train_00000015_c35_00,35,fish,15,-2.9763461211252764,-2.1076890953249463,,
train_00000015_c36_00,36,french beans,15,7.0518984252546115,2.9883190087426823,,
train_00000015_c36_01,36,french beans,15,6.989895825011125,3.601749503248726,,
train_00000016_c35_00,35,fish,16,-7.836072339814257,3.7812598550780936,,
train_00000016_c35_01,35,fish,16,-3.437262136886853,-1.6506588808356828,,
train_00000016_c51_00,51,lemon,16,-2.8764847849508084,-1.1997960264011727,,
train_00000016_c51_01,51,lemon,16,0.30771120426154325,-3.1570030843625676,,
train_00000016_c60_00,60,onion,16,-2.8267089941346444,1.2987703560918955,,
train_00000017_c37_00,37,french fries,17,-6.533954534139084,5.439967613722471,,
train_00000017_c69_00,69,pie,17,-2.6863691701794794,3.0307119375241385,,
train_00000017_c92_00,92,steak,17,-2.970464098952396,3.253935305655559,,
train_00000017_c92_01,92,steak,17,4.048883012153602,5.045115708348868,,
train_00000018_c10_00,10,bread,18,-2.5653978379852522,-2.9538713149696347,,
train_00000018_c85_00,85,shellfish,18,-7.367720991433168,3.143614729972103,,
train_00000018_c91_00,91,spring onion,18,-5.068880985355409,3.3293436596568977,,
train_00000018_c96_00,96,tomato,18,1.0795689731520115,1.8376346829043433,,
train_00000018_c96_01,96,tomato,18,2.187188076115036,3.957546184964786,,
train_00000019_c21_00,21,chicken duck,19,-1.4127286660698497,-3.2314789133173867,,
train_00000019_c21_01,21,chicken duck,19,-4.5607995145934,-0.17905671050287564,,
train_00000019_c46_00,46,juice,19,-1.528230611957376,-3.552017762531305,,
train_00000019_c51_00,51,lemon,19,-0.27311365476167154,-1.4663971048489066,,
train_00000019_c62_00,62,other ingredients,19,-5.06581381710946,1.1585987732375163,,
train_00000019_c68_00,68,pepper,19,-2.661977417423476,-1.599632854063415,,
train_00000019_c82_00,82,sauce,19,3.4764924847491745,-6.2299984301406175,,
train_00000020_c11_00,11,broccoli,20,-5.275195340479436,2.416918824077597,,
train_00000020_c15_00,15,carrot,20,-1.4068520070004817,-0.021081103406655508,,
train_00000020_c17_00,17,cauliflower,20,-0.9381102650167399,1.4829957817238268,,
