class_id_a,class_a,class_id_b,class_b,texture_similarity,texture_distance
21,chicken duck,35,fish,0.9958670319940874,0.004132968005912563
35,fish,69,pie,0.9898877892987653,0.010112210701234692
21,chicken duck,69,pie,0.9842354037777076,0.015764596222292426
35,fish,73,pork,0.978876687487461,0.02112331251253896
21,chicken duck,73,pork,0.9781129094865754,0.021887090513424634
60,onion,91,spring onion,0.9780808408189934,0.02191915918100662
13,cake,50,lamb,0.9780027631580631,0.021997236841936885
9,blueberry,20,cherry,0.969992070734255,0.030007929265745026
69,pie,73,pork,0.9689536761413473,0.03104632385865269
38,fried meat,69,pie,0.967504706050876,0.03249529394912398
12,cabbage,64,pasta,0.9637980383772635,0.03620196162273648
35,fish,38,fried meat,0.9637871244368907,0.03621287556310926
21,chicken duck,38,fried meat,0.9631690013138289,0.036830998686171124
11,broccoli,71,pizza,0.9571112661059308,0.04288873389406922
9,blueberry,22,chocolate,0.9565712288690186,0.043428771130981425
20,cherry,22,chocolate,0.9527182706166222,0.047281729383377824
38,fried meat,73,pork,0.9487303237672067,0.051269676232793326
16,cashew,91,spring onion,0.9459607132018248,0.05403928679817516
50,lamb,92,steak,0.9452317619816909,0.0547682380183091
0,almond,22,chocolate,0.9445725509728278,0.055427449027172226
12,cabbage,37,french fries,0.9395180140204924,0.0604819859795076
0,almond,91,spring onion,0.9384757407967788,0.06152425920322124
73,pork,92,steak,0.9370764661777577,0.06292353382224225
25,corn,80,rice,0.9365486699284348,0.06345133007156523
0,almond,16,cashew,0.9363424088097688,0.06365759119023118
16,cashew,22,chocolate,0.936017647600437,0.06398235239956296
40,ginger,44,hanamaki baozi,0.9348553852331926,0.06514461476680744
46,juice,101,wine,0.934225488228675,0.06577451177132498
11,broccoli,50,lamb,0.9334562863167888,0.06654371368321121
53,mango,70,pineapple,0.9322071136405137,0.06779288635948633
59,olives,68,pepper,0.9319252631702581,0.06807473682974186
50,lamb,73,pork,0.9274821812687013,0.0725178187312987
11,broccoli,13,cake,0.9273280899746468,0.07267191002535323
38,fried meat,92,steak,0.9247044159389959,0.07529558406100412
9,blueberry,16,cashew,0.9239051715008245,0.07609482849917548
37,french fries,64,pasta,0.9224262992465271,0.07757370075347292
11,broccoli,38,fried meat,0.922249410429493,0.07775058957050696
7,bean sprouts,85,shellfish,0.9222126028099585,0.07778739719004146
60,onion,95,tofu,0.9204294267563149,0.0795705732436851
0,almond,23,cilantro mint,0.9183645537109232,0.08163544628907682
22,chocolate,91,spring onion,0.9181178468529726,0.0818821531470274
8,biscuit,11,broccoli,0.9172883491672593,0.08271165083274068
13,cake,92,steak,0.91717719315693,0.08282280684306997
77,rape,92,steak,0.9170942860968919,0.08290571390310808
20,cherry,59,olives,0.9169706081375585,0.08302939186244152
9,blueberry,59,olives,0.9161913372372409,0.08380866276275911
94,tea,96,tomato,0.913944290629495,0.086055709370505
59,olives,95,tofu,0.9136708967435301,0.08632910325646992
53,mango,61,orange,0.9124940133311321,0.08750598666886789
8,biscuit,77,rape,0.9123050015959825,0.08769499840401751
38,fried meat,50,lamb,0.9116726794194655,0.0883273205805345
16,cashew,60,onion,0.911356352735236,0.08864364726476404
54,melon,76,pumpkin,0.9103412162943816,0.08965878370561842
37,french fries,48,king oyster mushroom,0.9103282041240245,0.08967179587597551
55,milk,75,pudding,0.9096947790437103,0.09030522095628968
25,corn,26,crab,0.9072739993807617,0.0927260006192383
46,juice,55,milk,0.9071885924478998,0.09281140755210016
50,lamb,77,rape,0.9062651825697515,0.09373481743024847
8,biscuit,71,pizza,0.9062264546248048,0.09377354537519522
46,juice,75,pudding,0.9027600982282581,0.09723990177174191
50,lamb,69,pie,0.9025371870562869,0.09746281294371306
64,pasta,102,wonton dumplings,0.9016206166902208,0.09837938330977924
9,blueberry,68,pepper,0.9009627793386109,0.09903722066138909
13,cake,38,fried meat,0.900927539156631,0.09907246084336896
34,fig,81,salad,0.9004645148446213,0.09953548515537869
26,crab,64,pasta,0.8993483016643323,0.10065169833566767
9,blueberry,95,tofu,0.8993393171361165,0.10066068286388352
13,cake,73,pork,0.8991534998108849,0.10084650018911512
2,apricot,46,juice,0.8986490986134583,0.10135090138654168
25,corn,64,pasta,0.8986369224382486,0.10136307756175145
86,shiitake,99,white button mushroom,0.8985308079004505,0.10146919209954952
21,chicken duck,50,lamb,0.8976270424415019,0.10237295755849807
35,fish,50,lamb,0.8972435742427498,0.10275642575725019
9,blueberry,91,spring onion,0.895150197854146,0.10484980214585404
8,biscuit,81,salad,0.8950696401385407,0.10493035986145927
56,milkshake,74,potato,0.8944956753967309,0.10550432460326908
20,cherry,39,garlic,0.8943171066783835,0.10568289332161651
2,apricot,56,milkshake,0.8930655572308515,0.10693444276914854
35,fish,92,steak,0.8919316547385115,0.10806834526148845
13,cake,71,pizza,0.8910982495313897,0.10890175046861028
12,cabbage,48,king oyster mushroom,0.889966373265159,0.11003362673484096
9,blueberry,39,garlic,0.88977157927475,0.11022842072524996
69,pie,92,steak,0.8896563411209902,0.11034365887900976
67,pear,87,shrimp,0.8890788766033959,0.1109211233966041
68,pepper,88,snow peas,0.8877187682014005,0.1122812317985995
71,pizza,81,salad,0.8872949276807398,0.11270507231926019
50,lamb,71,pizza,0.8868367983846209,0.11316320161537907
9,blueberry,60,onion,0.8860048409845367,0.11399515901546331
21,chicken duck,92,steak,0.8859015482146592,0.11409845178534084
40,ginger,67,pear,0.885843600957515,0.11415639904248498
69,pie,90,soy,0.8857310180690571,0.11426898193094293
2,apricot,74,potato,0.8856614247322692,0.11433857526773084
61,orange,96,tomato,0.8856462746431729,0.11435372535682709
11,broccoli,69,pie,0.8851429443274054,0.11485705567259463
20,cherry,68,pepper,0.8839019322237901,0.1160980677762099
20,cherry,91,spring onion,0.8836551019828898,0.11634489801711023
20,cherry,95,tofu,0.8830464334355598,0.11695356656444023
68,pepper,95,tofu,0.8830038240991792,0.11699617590082079
0,almond,60,onion,0.8825982792569246,0.11740172074307542
54,melon,74,potato,0.882492592293688,0.11750740770631196
88,snow peas,95,tofu,0.8813281627772052,0.11867183722279484
50,lamb,81,salad,0.8811379219160745,0.11886207808392546
37,french fries,90,soy,0.8810629085545544,0.11893709144544562
12,cabbage,26,crab,0.8807711713569845,0.11922882864301554
13,cake,21,chicken duck,0.8805259798831279,0.11947402011687214
54,melon,55,milk,0.8804161000505969,0.1195838999494031
17,cauliflower,54,melon,0.88026481089732,0.11973518910268
16,cashew,39,garlic,0.8801022635379407,0.11989773646205926
0,almond,9,blueberry,0.8797844091926472,0.12021559080735278
22,chocolate,39,garlic,0.8796809822096735,0.1203190177903265
16,cashew,20,cherry,0.8785447885543411,0.12145521144565885
0,almond,20,cherry,0.8772100174201317,0.12278998257986828
11,broccoli,81,salad,0.8770852841310354,0.12291471586896463
53,mango,94,tea,0.8766414146045384,0.12335858539546163
13,cake,35,fish,0.8760728511481463,0.12392714885185374
14,candy,60,onion,0.8752628474238859,0.12473715257611406
91,spring onion,95,tofu,0.8746646336249463,0.12533536637505371
19,cheese butter,88,snow peas,0.8728832987915243,0.12711670120847574
19,cheese butter,29,dried cranberries,0.8727935535834487,0.12720644641655132
13,cake,69,pie,0.8727775317872964,0.12722246821270355
54,melon,75,pudding,0.870939115231096,0.12906088476890398
32,eggplant,79,red beans,0.8707159066204652,0.12928409337953484
21,chicken duck,44,hanamaki baozi,0.8698116866443579,0.13018831335564207
8,biscuit,50,lamb,0.8697038943853799,0.13029610561462013
29,dried cranberries,45,ice cream,0.8688816479925068,0.13111835200749322
20,cherry,60,onion,0.8687071199159173,0.13129288008408269
19,cheese butter,24,coffee,0.8685002713955858,0.13149972860441417
23,cilantro mint,91,spring onion,0.8683922392240947,0.1316077607759053
7,bean sprouts,58,okra,0.8674014599539508,0.1325985400460492
71,pizza,85,shellfish,0.8673136165324654,0.13268638346753459
22,chocolate,60,onion,0.8667433346738157,0.1332566653261843
11,broccoli,92,steak,0.8665503378083032,0.13344966219169685
19,cheese butter,94,tea,0.865679295544563,0.13432070445543698
59,olives,88,snow peas,0.8654191796770438,0.13458082032295615
17,cauliflower,53,mango,0.8648968087430873,0.13510319125691272
30,egg,56,milkshake,0.8645879216294119,0.1354120783705881
35,fish,90,soy,0.8628001095204286,0.13719989047957137
13,cake,81,salad,0.8624804218442309,0.1375195781557691
60,onion,88,snow peas,0.8624306528004883,0.13756934719951175
46,juice,74,potato,0.8623958957715554,0.1376041042284446
13,cake,77,rape,0.8619619726937047,0.13803802730629533
32,eggplant,85,shellfish,0.8618318894695141,0.13816811053048594
30,egg,74,potato,0.8611646596939829,0.13883534030601707
16,cashew,68,pepper,0.8611095453861576,0.13889045461384242
6,banana,41,grape,0.8606719171393145,0.13932808286068554
63,oyster mushroom,75,pudding,0.8602254929879634,0.13977450701203664
2,apricot,101,wine,0.8591826120789308,0.14081738792106924
11,broccoli,35,fish,0.8590480121896954,0.1409519878103046
30,egg,102,wonton dumplings,0.858774652112378,0.14122534788762198
11,broccoli,21,chicken duck,0.8584336796502083,0.14156632034979166
24,coffee,94,tea,0.85785929367006,0.14214070632994003
10,bread,44,hanamaki baozi,0.8576248180071055,0.14237518199289445
24,coffee,59,olives,0.8573042451360771,0.14269575486392294
7,bean sprouts,32,eggplant,0.8572427350409931,0.14275726495900687
0,almond,86,shiitake,0.8569777549158251,0.14302224508417494
32,eggplant,50,lamb,0.8564813211774952,0.1435186788225048
68,pepper,91,spring onion,0.8562981504191948,0.14370184958080523
12,cabbage,25,corn,0.8552977218918354,0.1447022781081646
14,candy,91,spring onion,0.8546818320180187,0.14531816798198127
32,eggplant,81,salad,0.8544237988551566,0.14557620114484338
64,pasta,80,rice,0.8540196209485209,0.1459803790514791
58,okra,62,other ingredients,0.8529578201507025,0.14704217984929746
14,candy,95,tofu,0.8523700387549394,0.14762996124506056
16,cashew,95,tofu,0.8514311835739524,0.14856881642604758
64,pasta,87,shrimp,0.8499963996167605,0.15000360038323945
88,snow peas,91,spring onion,0.8497721557891256,0.15022784421087443
0,almond,39,garlic,0.8485579224840916,0.15144207751590844
60,onion,68,pepper,0.8481085586662384,0.15189144133376165
46,juice,54,melon,0.8480736137676061,0.15192638623239385
21,chicken duck,90,soy,0.8467159259127548,0.1532840740872452
39,garlic,68,pepper,0.8466715968484689,0.15332840315153107
81,salad,85,shellfish,0.8461580683324419,0.1538419316675581
35,fish,44,hanamaki baozi,0.8455727952118546,0.15442720478814542
46,juice,63,oyster mushroom,0.8455118621625315,0.1544881378374685
53,mango,96,tomato,0.8443490367119073,0.1556509632880927
29,dried cranberries,96,tomato,0.8439926042312499,0.1560073957687501
8,biscuit,69,pie,0.8433280294679254,0.1566719705320746
58,okra,85,shellfish,0.84326685964809,0.15673314035191
10,bread,40,ginger,0.8432625815989246,0.15673741840107536
97,walnut,99,white button mushroom,0.8425152227418319,0.15748477725816812
26,crab,80,rice,0.8421155499997375,0.15788445000026252
61,orange,94,tea,0.8419932314118292,0.15800676858817075
19,cheese butter,96,tomato,0.8417336402095316,0.15826635979046844
73,pork,90,soy,0.8416183012297562,0.15838169877024377
43,hamburg,76,pumpkin,0.8407444979699594,0.15925550203004057
8,biscuit,13,cake,0.8405187717014566,0.1594812282985434
38,fried meat,71,pizza,0.8401591176421711,0.1598408823578289
96,tomato,98,watermelon,0.8396968042119501,0.16030319578804986
8,biscuit,38,fried meat,0.8392486448442257,0.16075135515577432
12,cabbage,87,shrimp,0.8389370786396831,0.16106292136031686
11,broccoli,77,rape,0.8388638297752101,0.16113617022478988
0,almond,99,white button mushroom,0.8376726359423879,0.16232736405761206
11,broccoli,73,pork,0.8376689571001216,0.16233104289987843
17,cauliflower,51,lemon,0.836701993183507,0.16329800681649298
86,shiitake,97,walnut,0.8362438608595926,0.16375613914040743
3,asparagus,57,noodles,0.8354999906533145,0.16450000934668552
87,shrimp,102,wonton dumplings,0.8352896505693413,0.16471034943065865
65,peach,76,pumpkin,0.8349901648649597,0.1650098351350403
19,cheese butter,59,olives,0.8341931678768533,0.16580683212314673
80,rice,102,wonton dumplings,0.8335134000397635,0.16648659996023651
54,melon,65,peach,0.8333948397752955,0.1666051602247045
73,pork,77,rape,0.8330778239376898,0.1669221760623102
16,cashew,99,white button mushroom,0.8314269369726482,0.16857306302735175
30,egg,43,hamburg,0.8310015447796494,0.16899845522035062
29,dried cranberries,94,tea,0.8302198889431355,0.16978011105686452
14,candy,16,cashew,0.8301604464834889,0.16983955351651114
39,garlic,86,shiitake,0.8299881011003463,0.17001189889965374
32,eggplant,77,rape,0.829477169018159,0.17052283098184096
45,ice cream,70,pineapple,0.8284989253097468,0.17150107469025322
37,french fries,87,shrimp,0.8274311621067778,0.1725688378932222
7,bean sprouts,77,rape,0.8267519656251747,0.17324803437482528
22,chocolate,68,pepper,0.8264453025232495,0.17355469747675045
36,french beans,42,green beans,0.8261911232670178,0.17380887673298218
22,chocolate,23,cilantro mint,0.8256641981823999,0.1743358018176001
70,pineapple,94,tea,0.8251655871379069,0.1748344128620931
19,cheese butter,98,watermelon,0.8235302941484971,0.1764697058515029
8,biscuit,92,steak,0.8217801760835645,0.17821982391643554
12,cabbage,102,wonton dumplings,0.8212795484552744,0.1787204515447256
46,juice,56,milkshake,0.8200577323887179,0.17994226761128207
15,carrot,51,lemon,0.8192273127116754,0.18077268728832463
48,king oyster mushroom,64,pasta,0.8191485287432302,0.1808514712567698
45,ice cream,53,mango,0.8191473638208536,0.18085263617914638
14,candy,22,chocolate,0.8187949920982928,0.18120500790170724
48,king oyster mushroom,90,soy,0.8174845238567138,0.18251547614328623
7,bean sprouts,62,other ingredients,0.8168005688445332,0.18319943115546677
